切割后的数据集大小,姿势识别后的数据集大小,姿势识别率,姿势识别时间,人脸匹配时间
7627933,20.390589714050293
100 (50)_1.jpg,gaohan
100 (28)_4.jpg,gaohan
100 (12)_4.jpg,unknown
100 (34)_0.jpg,gaohan
100 (62)_2.jpg,gaohan
100 (48)_1.jpg,gaohan
100 (8)_4.jpg,gaohan
100 (64)_0.jpg,gaohan
100 (72)_2.jpg,gaohan
100 (53)_0.jpg,gaohan
100 (39)_1.jpg,gaohan
100 (39)_2.jpg,gaohan
100 (73)_2.jpg,gaohan
100 (22)_0.jpg,gaohan
100 (63)_1.jpg,gaohan
100 (63)_2.jpg,gaohan
100 (61)_0.jpg,gaohan
100 (55)_1.jpg,gaohan
100 (9)_2.jpg,gaohan
100 (5)_0.jpg,unknown
100 (77)_3.jpg,unknown
100 (28)_1.jpg,gaohan
100 (61)_1.jpg,gaohan
100 (77)_0.jpg,gaohan
100 (29)_2.jpg,gaohan
100 (36)_2.jpg,gaohan
100 (32)_1.jpg,gaohan
100 (7)_1.jpg,gaohan
100 (8)_1.jpg,gaohan
100 (34)_1.jpg,unknown
100 (47)_0.jpg,gaohan
100 (53)_1.jpg,gaohan
100 (99)_0.jpg,gaohan
100 (10)_1.jpg,gaohan
100 (91)_1.jpg,gaohan
100 (42)_3.jpg,gaohan
100 (35)_0.jpg,gaohan
100 (93)_0.jpg,gaohan
100 (64)_1.jpg,gaohan
100 (54)_0.jpg,gaohan
100 (7)_0.jpg,gaohan
100 (68)_0.jpg,gaohan
100 (40)_2.jpg,gaohan
100 (92)_2.jpg,gaohan
100 (75)_1.jpg,gaohan
100 (71)_2.jpg,unknown
100 (78)_1.jpg,unknown
100 (42)_0.jpg,gaohan
100 (100)_0.jpg,gaohan
100 (69)_0.jpg,gaohan
100 (1)_0.jpg,gaohan
100 (41)_1.jpg,gaohan
100 (71)_0.jpg,gaohan
100 (77)_2.jpg,gaohan
100 (76)_1.jpg,unknown
100 (44)_2.jpg,gaohan
100 (76)_0.jpg,gaohan
100 (41)_0.jpg,gaohan
100 (77)_1.jpg,gaohan
100 (9)_3.jpg,gaohan
100 (42)_2.jpg,gaohan
100 (62)_1.jpg,gaohan
100 (35)_3.jpg,gaohan
100 (37)_1.jpg,gaohan
100 (9)_4.jpg,gaohan
100 (39)_0.jpg,gaohan
100 (22)_2.jpg,gaohan
100 (41)_2.jpg,gaohan
100 (78)_2.jpg,gaohan
100 (38)_2.jpg,gaohan
100 (74)_5.jpg,gaohan
100 (71)_3.jpg,gaohan
100 (68)_1.jpg,gaohan
100 (41)_3.jpg,gaohan
100 (40)_1.jpg,gaohan
100 (37)_0.jpg,gaohan
100 (67)_0.jpg,gaohan
100 (70)_2.jpg,gaohan
100 (36)_0.jpg,gaohan
100 (72)_1.jpg,gaohan
100 (65)_1.jpg,gaohan
100 (13)_0.jpg,gaohan
100 (36)_1.jpg,gaohan
100 (82)_2.jpg,gaohan
100 (31)_0.jpg,gaohan
100 (69)_2.jpg,gaohan
100 (49)_0.jpg,gaohan
100 (94)_0.jpg,gaohan
100 (80)_2.jpg,gaohan
100 (27)_3.jpg,unknown
100 (70)_3.jpg,unknown
100 (55)_0.jpg,unknown
100 (79)_2.jpg,gaohan
100 (1)_1.jpg,gaohan
100 (23)_2.jpg,gaohan
100 (69)_1.jpg,gaohan
100 (26)_2.jpg,gaohan
100 (50)_0.jpg,gaohan
100 (47)_1.jpg,gaohan
100 (33)_1.jpg,unknown
100 (31)_1.jpg,gaohan
100 (19)_1.jpg,gaohan
100 (7)_2.jpg,gaohan
100 (92)_0.jpg,gaohan
100 (1)_2.jpg,gaohan
100 (24)_0.jpg,gaohan
100 (41)_4.jpg,gaohan
100 (29)_1.jpg,gaohan
100 (45)_1.jpg,gaohan
100 (1)_3.jpg,gaohan
100 (43)_0.jpg,gaohan
100 (62)_0.jpg,gaohan
100 (32)_0.jpg,gaohan
100 (49)_1.jpg,gaohan
100 (40)_0.jpg,gaohan
100 (29)_3.jpg,gaohan
100 (70)_0.jpg,unknown
100 (42)_1.jpg,gaohan
100 (43)_1.jpg,gaohan
100 (48)_0.jpg,gaohan
100 (46)_0.jpg,gaohan
100 (75)_2.jpg,gaohan
100 (99)_1.jpg,gaohan
100 (23)_1.jpg,gaohan
100 (100)_1.jpg,gaohan
100 (27)_1.jpg,gaohan
100 (78)_0.jpg,gaohan
100 (50)_2.jpg,gaohan
100 (35)_2.jpg,gaohan
